Product_ID,Category,Subcategory,Original_Price,Final_Price,Discount_Percent,Rating,Purchase_Date,Scraping_Date
f414122f-e,Sports,Sports,36.53,31.05,15,3.4,2024-11-12,2024-12-01
fde50f9c-5,Clothing,Clothing,232.79,186.23,20,4.9,2024-02-09,2024-12-01
0d96fc90-3,Sports,Sports,317.02,237.76,25,4.3,2024-09-01,2024-12-01
964fc44b-d,Toys,Toys,173.19,129.89,25,4.0,2024-04-01,2024-12-01
d70e2fc6-e,Beauty,Beauty,244.8,195.84,20,2.9,2024-09-27,2024-12-01
0816ee12-5,Books,Books,241.86,120.93,50,2.9,2024-08-08,2024-12-01
d41e0b55-c,Toys,Toys,76.91,73.06,5,2.6,2024-03-28,2024-12-01
83b7dc04-5,Sports,Sports,213.23,170.58,20,4.7,2024-05-29,2024-12-01
87c9c896-1,Sports,Sports,379.81,360.82,5,4.0,2024-02-26,2024-12-01
31308875-b,Home & Kitchen,Home & Kitchen,415.36,207.68,50,4.3,2024-01-11,2024-12-01
b2b1af7b-7,Books,Books,73.09,65.78,10,2.6,2024-10-21,2024-12-01
e221cf14-c,Beauty,Beauty,393.77,334.7,15,4.9,2024-09-10,2024-12-01
8c9a5f54-b,Home & Kitchen,Home & Kitchen,287.69,258.92,10,4.6,2024-03-08,2024-12-01
eeb0635d-a,Sports,Sports,26.26,13.13,50,3.0,2024-05-10,2024-12-01
38aec303-2,Clothing,Clothing,305.1,228.83,25,3.0,2024-06-20,2024-12-01
69d91fbc-3,Home & Kitchen,Home & Kitchen,113.71,108.02,5,3.0,2024-04-28,2024-12-01
928b4b24-d,Toys,Toys,426.75,426.75,0,3.3,2024-08-17,2024-12-01
12f03ff4-6,Home & Kitchen,Home & Kitchen,52.98,52.98,0,3.8,2024-08-08,2024-12-01
729191af-4,Electronics,Electronics,223.89,223.89,0,3.6,2024-06-13,2024-12-01
089c1cdd-0,Clothing,Clothing,166.75,166.75,0,3.2,2024-09-23,2024-12-01
a38a732e-9,Home & Kitchen,Home & Kitchen,77.22,65.64,15,4.0,2024-06-01,2024-12-01
4c021051-3,Toys,Toys,28.6,21.45,25,2.8,2024-04-19,2024-12-01
e57d04f5-d,Books,Books,395.73,336.37,15,3.2,2024-11-07,2024-12-01
b1d2560c-7,Home & Kitchen,Home & Kitchen,351.87,351.87,0,3.4,2024-08-31,2024-12-01
4dc7c4a3-8,Toys,Toys,257.14,205.71,20,3.6,2024-09-14,2024-12-01
ce353020-f,Sports,Sports,332.0,265.6,20,4.5,2024-02-03,2024-12-01
7fd8663b-b,Toys,Toys,375.59,262.91,30,3.0,2024-04-14,2024-12-01
b338a0b6-7,Beauty,Beauty,235.13,176.35,25,3.8,2024-08-06,2024-12-01
df52cac6-d,Electronics,Electronics,352.95,176.47,50,4.0,2024-08-05,2024-12-01
d384b62b-c,Toys,Toys,245.98,209.08,15,2.6,2024-06-28,2024-12-01
7004654f-0,Toys,Toys,389.72,350.75,10,4.0,2024-04-22,2024-12-01
5bfb14c4-f,Home & Kitchen,Home & Kitchen,88.07,61.65,30,2.9,2024-10-07,2024-12-01
411c40d9-1,Beauty,Beauty,40.78,20.39,50,2.7,2024-03-20,2024-12-01
d5b42863-c,Toys,Toys,105.1,78.82,25,4.9,2024-03-10,2024-12-01
b896f670-9,Home & Kitchen,Home & Kitchen,224.52,112.26,50,4.9,2024-05-21,2024-12-01
6b5e4a98-0,Books,Books,300.81,285.77,5,4.5,2024-06-01,2024-12-01
7f05dd28-6,Toys,Toys,24.17,18.13,25,3.3,2024-01-15,2024-12-01
3e56a630-e,Clothing,Clothing,95.41,81.1,15,2.7,2024-04-21,2024-12-01
1dc3b1a0-4,Clothing,Clothing,490.77,441.69,10,4.2,2024-08-03,2024-12-01
cc379a88-b,Electronics,Electronics,188.07,94.03,50,3.6,2024-07-01,2024-12-01
1695a728-0,Home & Kitchen,Home & Kitchen,319.29,303.33,5,2.8,2024-02-20,2024-12-01
c66354db-6,Toys,Toys,403.4,363.06,10,3.7,2024-08-25,2024-12-01
273c5035-2,Electronics,Electronics,303.14,303.14,0,2.6,2024-05-17,2024-12-01
74b72b2f-7,Home & Kitchen,Home & Kitchen,337.81,253.36,25,4.8,2024-06-18,2024-12-01
5e059f5f-7,Clothing,Clothing,449.74,404.77,10,3.1,2024-09-15,2024-12-01
dd5071f5-c,Sports,Sports,272.92,191.04,30,4.2,2024-05-12,2024-12-01
db828c6d-0,Home & Kitchen,Home & Kitchen,432.89,367.96,15,3.3,2024-02-25,2024-12-01
db26458e-0,Home & Kitchen,Home & Kitchen,310.86,279.77,10,3.8,2024-10-30,2024-12-01
ee59d876-b,Beauty,Beauty,479.19,479.19,0,3.9,2024-08-11,2024-12-01
919b53bb-2,Home & Kitchen,Home & Kitchen,350.61,315.55,10,3.0,2024-06-03,2024-12-01
159dca37-7,Books,Books,154.62,77.31,50,4.9,2024-10-08,2024-12-01
af65c4a5-5,Toys,Toys,435.6,217.8,50,4.4,2024-04-04,2024-12-01
847e77d3-d,Toys,Toys,400.31,300.23,25,4.8,2024-08-03,2024-12-01
e907e57c-b,Electronics,Electronics,15.81,11.86,25,4.7,2024-05-08,2024-12-01
f8495894-2,Toys,Toys,35.25,29.96,15,4.0,2024-01-11,2024-12-01
be68a8d8-7,Electronics,Electronics,414.76,414.76,0,4.8,2024-06-30,2024-12-01
e964198d-7,Toys,Toys,334.47,234.13,30,2.7,2024-08-25,2024-12-01
c834b41d-5,Home & Kitchen,Home & Kitchen,178.39,133.79,25,3.0,2024-10-04,2024-12-01
c4ddee78-e,Books,Books,237.95,202.26,15,2.6,2024-10-22,2024-12-01
59718054-8,Electronics,Electronics,458.12,389.4,15,3.3,2024-08-29,2024-12-01
0a46a91c-d,Beauty,Beauty,286.5,272.18,5,3.5,2024-08-10,2024-12-01
07ce9e62-a,Sports,Sports,10.78,9.7,10,3.2,2024-08-22,2024-12-01
baff7ab2-1,Beauty,Beauty,342.66,239.86,30,4.6,2024-07-24,2024-12-01
2449a91f-2,Sports,Sports,225.17,157.62,30,3.4,2024-09-16,2024-12-01
273ceb78-0,Clothing,Clothing,405.45,304.09,25,3.2,2024-07-18,2024-12-01
04dcad68-2,Beauty,Beauty,112.45,112.45,0,3.9,2024-07-07,2024-12-01
6d1089e4-9,Books,Books,380.81,304.65,20,2.9,2024-04-01,2024-12-01
32452d43-a,Sports,Sports,394.12,295.59,25,4.5,2024-03-09,2024-12-01
df40cf3d-6,Sports,Sports,334.77,284.55,15,2.7,2024-01-29,2024-12-01
42559644-1,Clothing,Clothing,125.65,113.09,10,5.0,2024-02-27,2024-12-01
54c501ae-e,Toys,Toys,202.26,161.81,20,4.4,2024-09-13,2024-12-01
893343d5-d,Clothing,Clothing,173.51,138.81,20,3.0,2024-01-28,2024-12-01
ade73cc0-5,Toys,Toys,30.8,15.4,50,2.5,2024-04-28,2024-12-01
663d067f-2,Home & Kitchen,Home & Kitchen,305.93,275.34,10,4.5,2024-10-19,2024-12-01
bc84dcb8-5,Clothing,Clothing,282.5,268.38,5,4.3,2024-04-14,2024-12-01
56c95db1-7,Books,Books,274.87,137.44,50,4.3,2024-09-17,2024-12-01
4dd272cd-4,Electronics,Electronics,93.08,74.46,20,4.4,2024-03-11,2024-12-01
c893a571-b,Home & Kitchen,Home & Kitchen,274.11,232.99,15,2.7,2024-10-17,2024-12-01
60e53d02-0,Sports,Sports,362.61,362.61,0,3.4,2024-11-21,2024-12-01
568f353e-6,Electronics,Electronics,486.62,364.97,25,2.8,2024-01-09,2024-12-01
c2d4aa98-b,Home & Kitchen,Home & Kitchen,336.49,269.19,20,4.7,2024-09-03,2024-12-01
ec8c9491-b,Toys,Toys,454.39,340.79,25,4.1,2024-09-04,2024-12-01
dd1ca92d-a,Home & Kitchen,Home & Kitchen,215.44,107.72,50,3.3,2024-06-22,2024-12-01
0fa064a8-d,Clothing,Clothing,33.02,28.07,15,2.7,2024-09-18,2024-12-01
2ad0fe64-8,Toys,Toys,138.83,124.95,10,3.3,2024-06-18,2024-12-01
9a0a1741-8,Books,Books,490.71,466.17,5,3.3,2024-03-10,2024-12-01
b46f5c60-7,Toys,Toys,280.66,238.56,15,4.3,2024-11-11,2024-12-01
214f0eed-f,Books,Books,327.4,229.18,30,4.1,2024-09-11,2024-12-01
c70fab41-e,Books,Books,309.67,232.25,25,4.7,2024-09-04,2024-12-01
fcbc5388-0,Books,Books,292.67,219.5,25,3.7,2024-02-13,2024-12-01
2257fd97-e,Clothing,Clothing,40.87,34.74,15,2.8,2024-03-11,2024-12-01
34a952b4-a,Clothing,Clothing,455.19,386.91,15,4.3,2024-10-05,2024-12-01
5d9e94f3-1,Toys,Toys,312.3,281.07,10,4.4,2024-01-31,2024-12-01
4ff5749c-e,Sports,Sports,193.28,173.95,10,3.9,2024-06-11,2024-12-01
74aeba43-c,Electronics,Electronics,216.18,151.33,30,4.4,2024-03-27,2024-12-01
2228c622-f,Electronics,Electronics,81.41,77.34,5,3.7,2024-02-20,2024-12-01
e907f4d3-9,Beauty,Beauty,496.05,471.25,5,3.8,2024-01-09,2024-12-01
a7298172-c,Sports,Sports,357.54,303.91,15,3.6,2024-06-15,2024-12-01
4118f1cc-3,Electronics,Electronics,133.93,133.93,0,2.6,2024-04-24,2024-12-01
3b0a706d-2,Clothing,Clothing,90.2,81.18,10,2.8,2024-01-28,2024-12-01
cd9ba20a-7,Books,Books,431.44,215.72,50,2.6,2024-01-28,2024-12-01
ec8c3655-e,Home & Kitchen,Home & Kitchen,42.98,40.83,5,4.1,2024-09-07,2024-12-01
b3525981-b,Sports,Sports,182.04,182.04,0,3.3,2024-08-23,2024-12-01
3d832b43-e,Beauty,Beauty,83.58,66.86,20,3.8,2024-04-01,2024-12-01
c40efcc0-2,Clothing,Clothing,92.92,83.63,10,4.8,2024-04-02,2024-12-01
268ce5a6-f,Toys,Toys,388.1,291.08,25,3.1,2024-06-28,2024-12-01
9822591f-3,Beauty,Beauty,417.57,208.78,50,3.5,2024-02-22,2024-12-01
707c9b5c-c,Sports,Sports,322.93,306.78,5,4.4,2024-01-03,2024-12-01
cfe90194-b,Toys,Toys,257.21,244.35,5,3.1,2024-09-05,2024-12-01
bf258db9-2,Home & Kitchen,Home & Kitchen,29.92,14.96,50,2.7,2024-05-01,2024-12-01
137695d9-6,Home & Kitchen,Home & Kitchen,239.67,203.72,15,3.2,2024-01-27,2024-12-01
f477647f-5,Beauty,Beauty,163.3,114.31,30,2.9,2024-05-31,2024-12-01
5b91457c-3,Books,Books,135.62,94.93,30,4.8,2024-09-01,2024-12-01
c0712648-3,Toys,Toys,61.84,30.92,50,4.5,2024-04-19,2024-12-01
412992e4-9,Sports,Sports,496.36,372.27,25,4.1,2024-07-30,2024-12-01
40ca8015-7,Toys,Toys,107.11,74.98,30,4.7,2024-04-29,2024-12-01
bc26060a-5,Electronics,Electronics,384.8,288.6,25,4.5,2024-10-07,2024-12-01
7f74df77-2,Toys,Toys,377.75,188.88,50,3.0,2024-05-25,2024-12-01
aef8a1b7-f,Home & Kitchen,Home & Kitchen,285.18,285.18,0,4.7,2024-05-24,2024-12-01
dbc17060-e,Books,Books,187.86,187.86,0,3.8,2024-02-24,2024-12-01
87d16f8f-2,Sports,Sports,440.5,220.25,50,4.5,2024-09-24,2024-12-01
4c54fc1d-0,Beauty,Beauty,124.56,124.56,0,4.7,2024-04-16,2024-12-01
7f15c4cf-6,Beauty,Beauty,236.7,236.7,0,3.3,2024-09-16,2024-12-01
a95d5384-7,Clothing,Clothing,397.16,278.01,30,2.8,2024-10-11,2024-12-01
69ac51ab-8,Beauty,Beauty,248.95,211.61,15,3.1,2024-04-14,2024-12-01
d516e842-3,Sports,Sports,123.71,61.85,50,3.6,2024-10-12,2024-12-01
d706b082-4,Electronics,Electronics,62.46,43.72,30,4.5,2024-11-18,2024-12-01
459a15e9-f,Electronics,Electronics,451.3,361.04,20,4.7,2024-06-12,2024-12-01
4ccbd0eb-8,Sports,Sports,320.09,320.09,0,2.5,2024-03-15,2024-12-01
7b348c44-0,Toys,Toys,51.73,36.21,30,3.8,2024-05-21,2024-12-01
ced724ce-2,Toys,Toys,388.94,311.15,20,3.5,2024-05-21,2024-12-01
4cebabca-e,Sports,Sports,85.98,68.78,20,3.1,2024-05-14,2024-12-01
6b4b6852-a,Home & Kitchen,Home & Kitchen,460.89,414.8,10,2.8,2024-05-18,2024-12-01
61a3694b-7,Home & Kitchen,Home & Kitchen,492.64,394.11,20,3.3,2024-07-07,2024-12-01
4843631e-4,Sports,Sports,86.95,65.21,25,4.9,2024-08-05,2024-12-01
b503bda4-8,Beauty,Beauty,416.65,354.15,15,3.3,2024-07-05,2024-12-01
c6e0579d-9,Toys,Toys,155.75,77.88,50,3.8,2024-07-22,2024-12-01
b93bd2ee-b,Clothing,Clothing,238.9,179.18,25,4.3,2024-04-17,2024-12-01
cf9bf8ad-9,Beauty,Beauty,470.33,470.33,0,3.4,2024-04-12,2024-12-01
7ae18ecd-b,Toys,Toys,62.48,49.98,20,4.9,2024-06-02,2024-12-01
9f5d4e87-5,Home & Kitchen,Home & Kitchen,317.67,254.14,20,4.9,2024-02-10,2024-12-01
0de24149-d,Beauty,Beauty,33.21,26.57,20,3.1,2024-03-14,2024-12-01
b1cd2571-8,Books,Books,118.52,112.59,5,3.7,2024-04-11,2024-12-01
6518b3f5-9,Clothing,Clothing,376.63,320.14,15,3.3,2024-05-07,2024-12-01
2a0374d2-e,Beauty,Beauty,428.47,428.47,0,3.2,2024-03-15,2024-12-01
119fec0d-2,Beauty,Beauty,462.91,370.33,20,2.6,2024-07-02,2024-12-01
9e012e67-8,Electronics,Electronics,385.98,328.08,15,4.0,2024-05-08,2024-12-01
4b06ab84-e,Clothing,Clothing,311.0,233.25,25,3.8,2024-07-31,2024-12-01
68235070-2,Toys,Toys,268.49,201.37,25,2.6,2024-05-09,2024-12-01
477dbdaa-9,Toys,Toys,185.46,166.91,10,3.2,2024-06-12,2024-12-01
e83298b7-c,Electronics,Electronics,267.4,254.03,5,4.8,2024-04-19,2024-12-01
968716f9-d,Home & Kitchen,Home & Kitchen,203.43,193.26,5,3.1,2024-09-23,2024-12-01
5b7f1241-9,Books,Books,171.63,85.81,50,2.9,2024-02-21,2024-12-01
69a949eb-b,Electronics,Electronics,326.01,326.01,0,3.7,2024-10-11,2024-12-01
e2a4b6ca-c,Electronics,Electronics,147.71,147.71,0,5.0,2024-06-09,2024-12-01
90518d68-1,Clothing,Clothing,390.2,390.2,0,3.1,2024-02-02,2024-12-01
1ee7bc15-5,Home & Kitchen,Home & Kitchen,406.06,203.03,50,4.2,2024-03-24,2024-12-01
7b5dd212-c,Books,Books,268.42,255.0,5,4.4,2024-03-10,2024-12-01
eb1e3cad-b,Beauty,Beauty,210.36,189.32,10,3.1,2024-11-17,2024-12-01
2838f818-c,Home & Kitchen,Home & Kitchen,285.47,228.38,20,4.3,2024-06-01,2024-12-01
9d19438f-d,Toys,Toys,494.46,445.01,10,3.4,2024-08-18,2024-12-01
c45f28ae-1,Clothing,Clothing,287.09,229.67,20,4.1,2024-04-10,2024-12-01
0f772bf6-b,Clothing,Clothing,378.27,378.27,0,4.1,2024-03-29,2024-12-01
42cf5d2e-e,Clothing,Clothing,23.54,18.83,20,3.8,2024-07-11,2024-12-01
b2969904-5,Clothing,Clothing,383.58,345.22,10,2.7,2024-06-07,2024-12-01
8d276b60-e,Sports,Sports,41.61,35.37,15,4.6,2024-11-05,2024-12-01
d13b913f-9,Toys,Toys,261.57,130.78,50,3.3,2024-07-20,2024-12-01
5c2c5955-3,Electronics,Electronics,251.32,238.75,5,3.0,2024-06-28,2024-12-01
bc3bb60a-5,Sports,Sports,72.43,36.22,50,2.6,2024-09-15,2024-12-01
27e9782e-5,Sports,Sports,421.0,378.9,10,4.0,2024-07-03,2024-12-01
ab7ff487-1,Books,Books,422.02,295.41,30,4.2,2024-06-07,2024-12-01
d5c83689-d,Toys,Toys,219.83,208.84,5,2.5,2024-10-13,2024-12-01
b7af74f2-2,Electronics,Electronics,242.33,205.98,15,3.8,2024-05-10,2024-12-01
4750a3de-4,Clothing,Clothing,334.28,284.14,15,3.1,2024-05-07,2024-12-01
7b7268d8-6,Books,Books,148.21,74.11,50,4.1,2024-08-22,2024-12-01
1f251a5e-3,Home & Kitchen,Home & Kitchen,275.11,137.56,50,2.9,2024-08-25,2024-12-01
8e964181-6,Home & Kitchen,Home & Kitchen,211.85,169.48,20,4.2,2024-05-28,2024-12-01
5a8e414b-b,Sports,Sports,497.4,248.7,50,3.5,2024-08-08,2024-12-01
